StateCode,Name,AnsiCode,FipsCode
AA,,,     
AE,,,     
AK,ALEUTIANS EAST,013,013  
AK,ALEUTIANS WEST,016,016  
AK,ANCHORAGE,020,020  
AK,BETHEL,050,050  
AK,BRISTOL BAY,060,060  
AK,DENALI,068,068  
AK,DILLINGHAM,070,070  
AK,FAIRBANKS NORTH STAR,090,090  
AK,HAINES,100,100  
AK,HOONAH ANGOON,105,105  
AK,JUNEAU,110,110  
AK,KENAI PENINSULA,122,122  
AK,KETCHIKAN GATEWAY,130,130  
AK,KODIAK ISLAND,150,150  
AK,LAKE AND PENINSULA,164,164  
AK,MATANUSKA SUSITNA,170,170  
AK,NOME,180,180  
AK,NORTH SLOPE,185,185  
AK,NORTHWEST ARCTIC,188,188  
AK,PETERSBURG,195,195  
AK,PRINCE OF WALES HYDER,198,198  
AK,SITKA,220,220  
AK,SKAGWAY,230,230  
AK,SOUTHEAST FAIRBANKS,240,240  
AK,VALDEZ CORDOVA,261,261  
AK,WADE HAMPTON,270,270  
AK,WRANGELL,275,275  
AK,YAKUTAT,282,282  
AK,YUKON KOYUKUK,290,290  
AL,AUTAUGA,001,001  
AL,BALDWIN,003,003  
AL,BARBOUR,005,005  
AL,BIBB,007,007  
AL,BLOUNT,009,009  
AL,BULLOCK,011,011  
AL,BUTLER,013,013  
AL,CALHOUN,015,015  
AL,CHAMBERS,017,017  
AL,CHEROKEE,019,019  
AL,CHILTON,021,021  
AL,CHOCTAW,023,023  
AL,CLARKE,025,025  
AL,CLAY,027,027  
AL,CLEBURNE,029,029  
AL,COFFEE,031,031  
AL,COLBERT,033,033  
AL,CONECUH,035,035  
AL,COOSA,037,037  
AL,COVINGTON,039,039  
AL,CRENSHAW,041,041  
AL,CULLMAN,043,043  
AL,DALE,045,045  
AL,DALLAS,047,047  
AL,DE KALB,049,049  
AL,ELMORE,051,051  
AL,ESCAMBIA,053,053  
AL,ETOWAH,055,055  
AL,FAYETTE,057,057  
AL,FRANKLIN,059,059  
AL,GENEVA,061,061  
AL,GREENE,063,063  
AL,HALE,065,065  
AL,HENRY,067,067  
AL,HOUSTON,069,069  
AL,JACKSON,071,071  
AL,JEFFERSON,073,073  
AL,LAMAR,075,075  
AL,LAUDERDALE,077,077  
AL,LAWRENCE,079,079  
AL,LEE,081,081  
AL,LIMESTONE,083,083  
AL,LOWNDES,085,085  
AL,MACON,087,087  
AL,MADISON,089,089  
AL,MARENGO,091,091  
AL,MARION,093,093  
AL,MARSHALL,095,095  
AL,MOBILE,097,097  
AL,MONROE,099,099  
AL,MONTGOMERY,101,101  
AL,MORGAN,103,103  
AL,PERRY,105,105  
AL,PICKENS,107,107  
AL,PIKE,109,109  
AL,RANDOLPH,111,111  
AL,RUSSELL,113,113  
AL,SAINT CLAIR,115,115  
AL,SHELBY,117,117  
AL,SUMTER,119,119  
AL,TALLADEGA,121,121  
AL,TALLAPOOSA,123,123  
AL,TUSCALOOSA,125,125  
AL,WALKER,127,127  
AL,WASHINGTON,129,129  
AL,WILCOX,131,131  
AL,WINSTON,133,133  
AP,,,     
AR,ARKANSAS,001,001  
AR,ASHLEY,003,003  
AR,BAXTER,005,005  
AR,BENTON,007,007  
AR,BOONE,009,009  
AR,BRADLEY,011,011  
AR,CALHOUN,013,013  
AR,CARROLL,015,015  
AR,CHICOT,017,017  
AR,CLARK,019,019  
AR,CLAY,021,021  
AR,CLEBURNE,023,023  
AR,CLEVELAND,025,025  
AR,COLUMBIA,027,027  
AR,CONWAY,029,029  
AR,CRAIGHEAD,031,031  
AR,CRAWFORD,033,033  
AR,CRITTENDEN,035,035  
AR,CROSS,037,037  
AR,DALLAS,039,039  
AR,DESHA,041,041  
AR,DREW,043,043  
AR,FAULKNER,045,045  
AR,FRANKLIN,047,047  
AR,FULTON,049,049  
AR,GARLAND,051,051  
AR,GRANT,053,053  
AR,GREENE,055,055  
AR,HEMPSTEAD,057,057  
AR,HOT SPRING,059,059  
AR,HOWARD,061,061  
AR,INDEPENDENCE,063,063  
AR,IZARD,065,065  
AR,JACKSON,067,067  
AR,JEFFERSON,069,069  
AR,JOHNSON,071,071  
AR,LAFAYETTE,073,073  
AR,LAWRENCE,075,075  
AR,LEE,077,077  
AR,LINCOLN,079,079  
AR,LITTLE RIVER,081,081  
AR,LOGAN,083,083  
AR,LONOKE,085,085  
AR,MADISON,087,087  
AR,MARION,089,089  
AR,MILLER,091,091  
AR,MISSISSIPPI,093,093  
AR,MONROE,095,095  
AR,MONTGOMERY,097,097  
AR,NEVADA,099,099  
AR,NEWTON,101,101  
AR,OUACHITA,103,103  
AR,PERRY,105,105  
AR,PHILLIPS,107,107  
AR,PIKE,109,109  
AR,POINSETT,111,111  
AR,POLK,113,113  
AR,POPE,115,115  
AR,PRAIRIE,117,117  
AR,PULASKI,119,119  
AR,RANDOLPH,121,121  
AR,SAINT FRANCIS,123,123  
AR,SALINE,125,125  
AR,SCOTT,127,127  
AR,SEARCY,129,129  
AR,SEBASTIAN,131,131  
AR,SEVIER,133,133  
AR,SHARP,135,135  
AR,STONE,137,137  
AR,UNION,139,139  
AR,VAN BUREN,141,141  
AR,WASHINGTON,143,143  
AR,WHITE,145,145  
AR,WOODRUFF,147,147  
AR,YELL,149,149  
AS,HAWAII,,001  
AZ,APACHE,001,001  
AZ,COCHISE,003,003  
AZ,COCONINO,005,005  
AZ,GILA,007,007  
AZ,GRAHAM,009,009  
AZ,GREENLEE,011,011  
AZ,LA PAZ,012,012  
AZ,MARICOPA,013,013  
AZ,MOHAVE,015,015  
AZ,NAVAJO,017,017  
AZ,PIMA,019,019  
AZ,PINAL,021,021  
AZ,SANTA CRUZ,023,023  
AZ,YAVAPAI,025,025  
AZ,YUMA,027,027  
CA,ALAMEDA,001,001  
CA,ALPINE,003,003  
CA,AMADOR,005,005  
CA,BUTTE,007,007  
CA,CALAVERAS,009,009  
CA,COLUSA,011,011  
CA,CONTRA COSTA,013,013  
CA,DEL NORTE,015,015  
CA,EL DORADO,017,017  
CA,FRESNO,019,019  
CA,GLENN,021,021  
CA,HUMBOLDT,023,023  
CA,IMPERIAL,025,025  
CA,INYO,027,027  
CA,KERN,029,029  
CA,KINGS,031,031  
CA,LAKE,033,033  
CA,LASSEN,035,035  
CA,LOS ANGELES,037,037  
CA,MADERA,039,039  
CA,MARIN,041,041  
CA,MARIPOSA,043,043  
CA,MENDOCINO,045,045  
CA,MERCED,047,047  
CA,MODOC,049,049  
CA,MONO,051,051  
CA,MONTEREY,053,053  
CA,NAPA,055,055  
CA,NEVADA,057,057  
CA,ORANGE,059,059  
CA,PLACER,061,061  
CA,PLUMAS,063,063  
CA,RIVERSIDE,065,065  
CA,SACRAMENTO,067,067  
CA,SAN BENITO,069,069  
CA,SAN BERNARDINO,071,071  
CA,SAN DIEGO,073,073  
CA,SAN FRANCISCO,075,075  
CA,SAN JOAQUIN,077,077  
CA,SAN LUIS OBISPO,079,079  
CA,SAN MATEO,081,081  
CA,SANTA BARBARA,083,083  
CA,SANTA CLARA,085,085  
CA,SANTA CRUZ,087,087  
CA,SHASTA,089,089  
CA,SIERRA,091,091  
CA,SISKIYOU,093,093  
CA,SOLANO,095,095  
CA,SONOMA,097,097  
CA,STANISLAUS,099,099  
CA,SUTTER,101,101  
CA,TEHAMA,103,103  
CA,TRINITY,105,105  
CA,TULARE,107,107  
CA,TUOLUMNE,109,109  
CA,VENTURA,111,111  
CA,YOLO,113,113  
CA,YUBA,115,115  
CO,ADAMS,001,001  
CO,ALAMOSA,003,003  
CO,ARAPAHOE,005,005  
CO,ARCHULETA,007,007  
CO,BACA,009,009  
CO,BENT,011,011  
CO,BOULDER,013,013  
CO,BROOMFIELD,014,014  
CO,CHAFFEE,015,015  
CO,CHEYENNE,017,017  
CO,CLEAR CREEK,019,019  
CO,CONEJOS,021,021  
CO,COSTILLA,023,023  
CO,CROWLEY,025,025  
CO,CUSTER,027,027  
CO,DELTA,029,029  
CO,DENVER,031,031  
CO,DOLORES,033,033  
CO,DOUGLAS,035,035  
CO,EAGLE,037,037  
CO,ELBERT,039,039  
CO,EL PASO,041,041  
CO,FREMONT,043,043  
CO,GARFIELD,045,045  
CO,GILPIN,047,047  
CO,GRAND,049,049  
CO,GUNNISON,051,051  
CO,HINSDALE,053,053  
CO,HUERFANO,055,055  
CO,JACKSON,057,057  
CO,JEFFERSON,059,059  
CO,KIOWA,061,061  
CO,KIT CARSON,063,063  
CO,LAKE,065,065  
CO,LA PLATA,067,067  
CO,LARIMER,069,069  
CO,LAS ANIMAS,071,071  
CO,LINCOLN,073,073  
CO,LOGAN,075,075  
CO,MESA,077,077  
CO,MINERAL,079,079  
CO,MOFFAT,081,081  
CO,MONTEZUMA,083,083  
CO,MONTROSE,085,085  
CO,MORGAN,087,087  
CO,OTERO,089,089  
CO,OURAY,091,091  
CO,PARK,093,093  
CO,PHILLIPS,095,095  
CO,PITKIN,097,097  
CO,PROWERS,099,099  
CO,PUEBLO,101,101  
CO,RIO BLANCO,103,103  
CO,RIO GRANDE,105,105  
CO,ROUTT,107,107  
CO,SAGUACHE,109,109  
CO,SAN JUAN,111,111  
CO,SAN MIGUEL,113,113  
CO,SEDGWICK,115,115  
CO,SUMMIT,117,117  
CO,TELLER,119,119  
CO,WASHINGTON,121,121  
CO,WELD,123,123  
CO,YUMA,125,125  
CT,FAIRFIELD,001,001  
CT,HARTFORD,003,003  
CT,LITCHFIELD,005,005  
CT,MIDDLESEX,007,007  
CT,NEW HAVEN,009,009  
CT,NEW LONDON,011,011  
CT,TOLLAND,013,013  
CT,WINDHAM,015,015  
DC,DISTRICT OF COLUMBIA,001,001  
DE,KENT,001,001  
DE,NEW CASTLE,003,003  
DE,SUSSEX,005,005  
FL,ALACHUA,001,001  
FL,BAKER,003,003  
FL,BAY,005,005  
FL,BRADFORD,007,007  
FL,BREVARD,009,009  
FL,BROWARD,011,011  
FL,CALHOUN,013,013  
FL,CHARLOTTE,015,015  
FL,CITRUS,017,017  
FL,CLAY,019,019  
FL,COLLIER,021,021  
FL,COLUMBIA,023,023  
FL,DE SOTO,027,027  
FL,DIXIE,029,029  
FL,DUVAL,031,031  
FL,ESCAMBIA,033,033  
FL,FLAGLER,035,035  
FL,FRANKLIN,037,037  
FL,GADSDEN,039,039  
FL,GILCHRIST,041,041  
FL,GLADES,043,043  
FL,GULF,045,045  
FL,HAMILTON,047,047  
FL,HARDEE,049,049  
FL,HENDRY,051,051  
FL,HERNANDO,053,053  
FL,HIGHLANDS,055,055  
FL,HILLSBOROUGH,057,057  
FL,HOLMES,059,059  
FL,INDIAN RIVER,061,061  
FL,JACKSON,063,063  
FL,JEFFERSON,065,065  
FL,LAFAYETTE,067,067  
FL,LAKE,069,069  
FL,LEE,071,071  
FL,LEON,073,073  
FL,LEVY,075,075  
FL,LIBERTY,077,077  
FL,MADISON,079,079  
FL,MANATEE,081,081  
FL,MARION,083,083  
FL,MARTIN,085,085  
FL,MIAMI-DADE,086,086  
FL,MONROE,087,087  
FL,NASSAU,089,089  
FL,OKALOOSA,091,091  
FL,OKEECHOBEE,093,093  
FL,ORANGE,095,095  
FL,OSCEOLA,097,097  
FL,PALM BEACH,099,099  
FL,PASCO,101,101  
FL,PINELLAS,103,103  
FL,POLK,105,105  
FL,PUTNAM,107,107  
FL,SAINT JOHNS,109,109  
FL,SAINT LUCIE,111,111  
FL,SANTA ROSA,113,113  
FL,SARASOTA,115,115  
FL,SEMINOLE,117,117  
FL,SUMTER,119,119  
FL,SUWANNEE,121,121  
FL,TAYLOR,123,123  
FL,UNION,125,125  
FL,VOLUSIA,127,127  
FL,WAKULLA,129,129  
FL,WALTON,131,131  
FL,WASHINGTON,133,133  
FM,FEDERATED STATES OF MICRO,,003  
GA,APPLING,001,001  
GA,ATKINSON,003,003  
GA,BACON,005,005  
GA,BAKER,007,007  
GA,BALDWIN,009,009  
GA,BANKS,011,011  
GA,BARROW,013,013  
GA,BARTOW,015,015  
GA,BEN HILL,017,017  
GA,BERRIEN,019,019  
GA,BIBB,021,021  
GA,BLECKLEY,023,023  
GA,BRANTLEY,025,025  
GA,BROOKS,027,027  
GA,BRYAN,029,029  
GA,BULLOCH,031,031  
GA,BURKE,033,033  
GA,BUTTS,035,035  
GA,CALHOUN,037,037  
GA,CAMDEN,039,039  
GA,CANDLER,043,043  
GA,CARROLL,045,045  
GA,CATOOSA,047,047  
GA,CHARLTON,049,049  
GA,CHATHAM,051,051  
GA,CHATTAHOOCHEE,053,053  
GA,CHATTOOGA,055,055  
GA,CHEROKEE,057,057  
GA,CLARKE,059,059  
GA,CLAY,061,061  
GA,CLAYTON,063,063  
GA,CLINCH,065,065  
GA,COBB,067,067  
GA,COFFEE,069,069  
GA,COLQUITT,071,071  
GA,COLUMBIA,073,073  
GA,COOK,075,075  
GA,COWETA,077,077  
GA,CRAWFORD,079,079  
GA,CRISP,081,081  
GA,DADE,083,083  
GA,DAWSON,085,085  
GA,DECATUR,087,087  
GA,DEKALB,089,089  
GA,DODGE,091,091  
GA,DOOLY,093,093  
GA,DOUGHERTY,095,095  
GA,DOUGLAS,097,097  
GA,EARLY,099,099  
GA,ECHOLS,101,101  
GA,EFFINGHAM,103,103  
GA,ELBERT,105,105  
GA,EMANUEL,107,107  
GA,EVANS,109,109  
GA,FANNIN,111,111  
GA,FAYETTE,113,113  
GA,FLOYD,115,115  
GA,FORSYTH,117,117  
GA,FRANKLIN,119,119  
GA,FULTON,121,121  
GA,GILMER,123,123  
GA,GLASCOCK,125,125  
GA,GLYNN,127,127  
GA,GORDON,129,129  
GA,GRADY,131,131  
GA,GREENE,133,133  
GA,GWINNETT,135,135  
GA,HABERSHAM,137,137  
GA,HALL,139,139  
GA,HANCOCK,141,141  
GA,HARALSON,143,143  
GA,HARRIS,145,145  
GA,HART,147,147  
GA,HEARD,149,149  
GA,HENRY,151,151  
GA,HOUSTON,153,153  
GA,IRWIN,155,155  
GA,JACKSON,157,157  
GA,JASPER,159,159  
GA,JEFF DAVIS,161,161  
GA,JEFFERSON,163,163  
GA,JENKINS,165,165  
GA,JOHNSON,167,167  
GA,JONES,169,169  
GA,LAMAR,171,171  
GA,LANIER,173,173  
GA,LAURENS,175,175  
GA,LEE,177,177  
GA,LIBERTY,179,179  
GA,LINCOLN,181,181  
GA,LONG,183,183  
GA,LOWNDES,185,185  
GA,LUMPKIN,187,187  
GA,MCDUFFIE,189,189  
GA,MCINTOSH,191,191  
GA,MACON,193,193  
GA,MADISON,195,195  
GA,MARION,197,197  
GA,MERIWETHER,199,199  
GA,MILLER,201,201  
GA,MITCHELL,205,205  
GA,MONROE,207,207  
GA,MONTGOMERY,209,209  
GA,MORGAN,211,211  
GA,MURRAY,213,213  
GA,MUSCOGEE,215,215  
GA,NEWTON,217,217  
GA,OCONEE,219,219  
GA,OGLETHORPE,221,221  
GA,PAULDING,223,223  
GA,PEACH,225,225  
GA,PICKENS,227,227  
GA,PIERCE,229,229  
GA,PIKE,231,231  
GA,POLK,233,233  
GA,PULASKI,235,235  
GA,PUTNAM,237,237  
GA,QUITMAN,239,239  
GA,RABUN,241,241  
GA,RANDOLPH,243,243  
GA,RICHMOND,245,245  
GA,ROCKDALE,247,247  
GA,SCHLEY,249,249  
GA,SCREVEN,251,251  
GA,SEMINOLE,253,253  
GA,SPALDING,255,255  
GA,STEPHENS,257,257  
GA,STEWART,259,259  
GA,SUMTER,261,261  
GA,TALBOT,263,263  
GA,TALIAFERRO,265,265  
GA,TATTNALL,267,267  
GA,TAYLOR,269,269  
GA,TELFAIR,271,271  
GA,TERRELL,273,273  
GA,THOMAS,275,275  
GA,TIFT,277,277  
GA,TOOMBS,279,279  
GA,TOWNS,281,281  
GA,TREUTLEN,283,283  
GA,TROUP,285,285  
GA,TURNER,287,287  
GA,TWIGGS,289,289  
GA,UNION,291,291  
GA,UPSON,293,293  
GA,WALKER,295,295  
GA,WALTON,297,297  
GA,WARE,299,299  
GA,WARREN,301,301  
GA,WASHINGTON,303,303  
GA,WAYNE,305,305  
GA,WEBSTER,307,307  
GA,WHEELER,309,309  
GA,WHITE,311,311  
GA,WHITFIELD,313,313  
GA,WILCOX,315,315  
GA,WILKES,317,317  
GA,WILKINSON,319,319  
GA,WORTH,321,321  
GU,GUAM,010,010  
HI,HAWAII,001,001  
HI,HONOLULU,003,003  
HI,KALAWAO,005,005  
HI,KAUAI,007,007  
HI,MAUI,009,009  
IA,ADAIR,001,001  
IA,ADAMS,003,003  
IA,ALLAMAKEE,005,005  
IA,APPANOOSE,007,007  
IA,AUDUBON,009,009  
IA,BENTON,011,011  
IA,BLACK HAWK,013,013  
IA,BOONE,015,015  
IA,BREMER,017,017  
IA,BUCHANAN,019,019  
IA,BUENA VISTA,021,021  
IA,BUTLER,023,023  
IA,CALHOUN,025,025  
IA,CARROLL,027,027  
IA,CASS,029,029  
IA,CEDAR,031,031  
IA,CERRO GORDO,033,033  
IA,CHEROKEE,035,035  
IA,CHICKASAW,037,037  
IA,CLARKE,039,039  
IA,CLAY,041,041  
IA,CLAYTON,043,043  
IA,CLINTON,045,045  
IA,CRAWFORD,047,047  
IA,DALLAS,049,049  
IA,DAVIS,051,051  
IA,DECATUR,053,053  
IA,DELAWARE,055,055  
IA,DES MOINES,057,057  
IA,DICKINSON,059,059  
IA,DUBUQUE,061,061  
IA,EMMET,063,063  
IA,FAYETTE,065,065  
IA,FLOYD,067,067  
IA,FRANKLIN,069,069  
IA,FREMONT,071,071  
IA,GREENE,073,073  
IA,GRUNDY,075,075  
IA,GUTHRIE,077,077  
IA,HAMILTON,079,079  
IA,HANCOCK,081,081  
IA,HARDIN,083,083  
IA,HARRISON,085,085  
IA,HENRY,087,087  
IA,HOWARD,089,089  
IA,HUMBOLDT,091,091  
IA,IDA,093,093  
IA,IOWA,095,095  
IA,JACKSON,097,097  
IA,JASPER,099,099  
IA,JEFFERSON,101,101  
IA,JOHNSON,103,103  
IA,JONES,105,105  
IA,KEOKUK,107,107  
IA,KOSSUTH,109,109  
IA,LEE,111,111  
IA,LINN,113,113  
IA,LOUISA,115,115  
IA,LUCAS,117,117  
IA,LYON,119,119  
IA,MADISON,121,121  
IA,MAHASKA,123,123  
IA,MARION,125,125  
IA,MARSHALL,127,127  
IA,MILLS,129,129  
IA,MITCHELL,131,131  
IA,MONONA,133,133  
IA,MONROE,135,135  
IA,MONTGOMERY,137,137  
IA,MUSCATINE,139,139  
IA,OBRIEN,141,141  
IA,OSCEOLA,143,143  
IA,PAGE,145,145  
IA,PALO ALTO,147,147  
IA,PLYMOUTH,149,149  
IA,POCAHONTAS,151,151  
IA,POLK,153,153  
IA,POTTAWATTAMIE,155,155  
IA,POWESHIEK,157,157  
IA,RINGGOLD,159,159  
IA,SAC,161,161  
IA,SCOTT,163,163  
IA,SHELBY,165,165  
IA,SIOUX,167,167  
IA,STORY,169,169  
IA,TAMA,171,171  
IA,TAYLOR,173,173  
IA,UNION,175,175  
IA,VAN BUREN,177,177  
IA,WAPELLO,179,179  
IA,WARREN,181,181  
IA,WASHINGTON,183,183  
IA,WAYNE,185,185  
IA,WEBSTER,187,187  
IA,WINNEBAGO,189,189  
IA,WINNESHIEK,191,191  
IA,WOODBURY,193,193  
IA,WORTH,195,195  
IA,WRIGHT,197,197  
ID,ADA,001,001  
ID,ADAMS,003,003  
ID,BANNOCK,005,005  
ID,BEAR LAKE,007,007  
ID,BENEWAH,009,009  
ID,BINGHAM,011,011  
ID,BLAINE,013,013  
ID,BOISE,015,015  
ID,BONNER,017,017  
ID,BONNEVILLE,019,019  
ID,BOUNDARY,021,021  
ID,BUTTE,023,023  
ID,CAMAS,025,025  
ID,CANYON,027,027  
ID,CARIBOU,029,029  
ID,CASSIA,031,031  
ID,CLARK,033,033  
ID,CLEARWATER,035,035  
ID,CUSTER,037,037  
ID,ELMORE,039,039  
ID,FRANKLIN,041,041  
ID,FREMONT,043,043  
ID,GEM,045,045  
ID,GOODING,047,047  
ID,IDAHO,049,049  
ID,JEFFERSON,051,051  
ID,JEROME,053,053  
ID,KOOTENAI,055,055  
ID,LATAH,057,057  
ID,LEMHI,059,059  
ID,LEWIS,061,061  
ID,LINCOLN,063,063  
ID,MADISON,065,065  
ID,MINIDOKA,067,067  
ID,NEZ PERCE,069,069  
ID,ONEIDA,071,071  
ID,OWYHEE,073,073  
ID,PAYETTE,075,075  
ID,POWER,077,077  
ID,SHOSHONE,079,079  
ID,TETON,081,081  
ID,TWIN FALLS,083,083  
ID,VALLEY,085,085  
ID,WASHINGTON,087,087  
IL,ADAMS,001,001  
IL,ALEXANDER,003,003  
IL,BOND,005,005  
IL,BOONE,007,007  
IL,BROWN,009,009  
IL,BUREAU,011,011  
IL,CALHOUN,013,013  
IL,CARROLL,015,015  
IL,CASS,017,017  
IL,CHAMPAIGN,019,019  
IL,CHRISTIAN,021,021  
IL,CLARK,023,023  
IL,CLAY,025,025  
IL,CLINTON,027,027  
IL,COLES,029,029  
IL,COOK,031,031  
IL,CRAWFORD,033,033  
IL,CUMBERLAND,035,035  
IL,DEKALB,037,037  
IL,DEWITT,039,039  
IL,DOUGLAS,041,041  
IL,DUPAGE,043,043  
IL,EDGAR,045,045  
IL,EDWARDS,047,047  
IL,EFFINGHAM,049,049  
IL,FAYETTE,051,051  
IL,FORD,053,053  
IL,FRANKLIN,055,055  
IL,FULTON,057,057  
IL,GALLATIN,059,059  
IL,GREENE,061,061  
IL,GRUNDY,063,063  
IL,HAMILTON,065,065  
IL,HANCOCK,067,067  
IL,HARDIN,069,069  
IL,HENDERSON,071,071  
IL,HENRY,073,073  
IL,IROQUOIS,075,075  
IL,JACKSON,077,077  
IL,JASPER,079,079  
IL,JEFFERSON,081,081  
IL,JERSEY,083,083  
IL,JO DAVIESS,085,085  
IL,JOHNSON,087,087  
IL,KANE,089,089  
IL,KANKAKEE,091,091  
IL,KENDALL,093,093  
IL,KNOX,095,095  
IL,LAKE,097,097  
IL,LA SALLE,099,099  
IL,LAWRENCE,101,101  
IL,LEE,103,103  
IL,LIVINGSTON,105,105  
IL,LOGAN,107,107  
IL,MCDONOUGH,109,109  
IL,MCHENRY,111,111  
IL,MCLEAN,113,113  
IL,MACON,115,115  
IL,MACOUPIN,117,117  
IL,MADISON,119,119  
IL,MARION,121,121  
IL,MARSHALL,123,123  
IL,MASON,125,125  
IL,MASSAC,127,127  
IL,MENARD,129,129  
IL,MERCER,131,131  
IL,MONROE,133,133  
IL,MONTGOMERY,135,135  
IL,MORGAN,137,137  
IL,MOULTRIE,139,139  
IL,OGLE,141,141  
IL,PEORIA,143,143  
IL,PERRY,145,145  
IL,PIATT,147,147  
IL,PIKE,149,149  
IL,POPE,151,151  
IL,PULASKI,153,153  
IL,PUTNAM,155,155  
IL,RANDOLPH,157,157  
IL,RICHLAND,159,159  
IL,ROCK ISLAND,161,161  
IL,SAINT CLAIR,163,163  
IL,SALINE,165,165  
IL,SANGAMON,167,167  
IL,SCHUYLER,169,169  
IL,SCOTT,171,171  
IL,SHELBY,173,173  
IL,STARK,175,175  
IL,STEPHENSON,177,177  
IL,TAZEWELL,179,179  
IL,UNION,181,181  
IL,VERMILION,183,183  
IL,WABASH,185,185  
IL,WARREN,187,187  
IL,WASHINGTON,189,189  
IL,WAYNE,191,191  
IL,WHITE,193,193  
IL,WHITESIDE,195,195  
IL,WILL,197,197  
IL,WILLIAMSON,199,199  
IL,WINNEBAGO,201,201  
IL,WOODFORD,203,203  
IN,ADAMS,001,001  
IN,ALLEN,003,003  
IN,BARTHOLOMEW,005,005  
IN,BENTON,007,007  
IN,BLACKFORD,009,009  
IN,BOONE,011,011  
IN,BROWN,013,013  
IN,CARROLL,015,015  
IN,CASS,017,017  
